City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,portland,45.5234,-122.6762,54.21,87,100,9.22,US,1731290680
84,xudat,41.631,48.681,48.7,82,100,5.23,AZ,1731290981
85,utrik,11.2278,169.8474,83.41,76,4,19.08,MH,1731290982
86,coquimbo,-29.9533,-71.3436,58.73,84,0,2.3,CL,1731290983
87,port shepstone,-30.7414,30.455,67.14,89,99,8.57,ZA,1731290984
88,aasiaat,68.7098,-52.8699,14.47,99,100,7.45,GL,1731290986
89,tamanrasset,22.785,5.5228,57.72,32,0,1.74,DZ,1731290987
90,florida,28.7505,-82.5001,75.85,82,0,3.44,US,1731290988
91,san antonio de pale,-1.4014,5.6325,78.58,85,99,9.4,GQ,1731290989
92,uturoa,-16.7333,-151.4333,80.51,82,85,14.32,PF,1731290990
93,hermanus,-34.4187,19.2345,56.8,86,19,9.19,ZA,1731290992
94,borujen,31.9652,51.2873,46.11,44,100,1.1,IR,1731290993
95,saipan,15.1355,145.701,90.3,81,20,12.66,MP,1731290994
96,flagstaff,35.1981,-111.6513,43.83,56,0,1.01,US,1731290995
97,abepura,-2.6333,140.5833,85.01,70,20,4.61,ID,1731290997
98,hithadhoo,-0.6,73.0833,82.71,71,55,13.47,MV,1731290998
99,bilibino,68.0546,166.4372,-5.01,100,99,1.01,RU,1731290999
100,um jar al gharbiyya,13.8013,32.4078,81.95,28,8,18.23,SD,1731291000
101,skhira,34.2992,10.07,67.37,70,59,2.53,TN,1731291001
102,kuanda,56.3161,116.0806,6.58,92,100,1.07,RU,1731291003
103,qulsary,46.9531,54.0198,36.84,82,82,6.51,KZ,1731291004
104,sawakin,19.1059,37.3321,84.07,72,93,8.03,SD,1731291005
105,furukawa,38.5717,140.9556,65.01,50,18,9.06,JP,1731291006
106,pisco,-13.7,-76.2167,66.25,77,0,16.11,PE,1731291008
107,whitehorse,60.7161,-135.0538,27.1,98,100,3.04,CA,1731291009
108,vilyuchinsk,52.9306,158.4028,26.87,95,100,4.7,RU,1731291010
